Selegiline	0	B-Chemical
-	7	O
induced	3	O
postural	5	B-Disease
hypotension	5	I-Disease
in	5	O
Parkinson	5	B-Disease
'	9	I-Disease
s	9	I-Disease
disease	5	I-Disease
:	9	O
a	5	O
longitudinal	5	O
study	9	O
on	5	O
the	5	O
effects	9	O
of	5	O
drug	5	O
withdrawal	5	O
.	9	O

OBJECTIVES	2	O
:	9	O
The	5	O
United	9	O
Kingdom	2	O
Parkinson	5	B-Disease
'	9	I-Disease
s	9	I-Disease
Disease	2	I-Disease
Research	2	O
Group	9	O
(	9	O
UKPDRG	_	O
)	9	O
trial	5	O
found	9	O
an	5	O
increased	9	O
mortality	5	O
in	5	O
patients	5	O
with	5	O
Parkinson	5	B-Disease
'	9	I-Disease
s	9	I-Disease
disease	5	I-Disease
(	9	O
PD	9	B-Disease
)	9	O
randomized	5	O
to	5	O
receive	5	O
10	9	O
mg	0	O
selegiline	0	B-Chemical
per	9	O
day	9	O
and	5	O
L	0	B-Chemical
-	7	I-Chemical
dopa	0	I-Chemical
compared	9	O
with	5	O
those	5	O
taking	5	O
L	0	B-Chemical
-	7	I-Chemical
dopa	0	I-Chemical
alone	9	O
.	9	O

Recently	9	O
,	9	O
we	5	O
found	9	O
that	5	O
therapy	5	O
with	5	O
selegiline	0	B-Chemical
and	5	O
L	0	B-Chemical
-	7	I-Chemical
dopa	0	I-Chemical
was	9	O
associated	9	O
with	5	O
selective	9	O
systolic	5	B-Disease
orthostatic	5	I-Disease
hypotension	5	I-Disease
which	5	O
was	9	O
abolished	3	O
by	9	O
withdrawal	5	O
of	5	O
selegiline	0	B-Chemical
.	9	O

This	5	O
unwanted	5	O
effect	9	O
on	5	O
postural	5	O
blood	9	O
pressure	5	O
was	9	O
not	5	O
the	5	O
result	9	O
of	5	O
underlying	5	O
autonomic	5	O
failure	5	O
.	9	O

The	5	O
aims	5	O
of	5	O
this	5	O
study	9	O
were	9	O
to	5	O
confirm	9	O
our	5	O
previous	9	O
findings	9	O
in	5	O
a	5	O
separate	9	O
cohort	9	O
of	5	O
patients	5	O
and	5	O
to	5	O
determine	9	O
the	5	O
time	5	O
course	5	O
of	5	O
the	5	O
cardiovascular	5	O
consequences	5	O
of	5	O
stopping	5	O
selegiline	0	B-Chemical
in	5	O
the	5	O
expectation	5	O
that	5	O
this	5	O
might	9	O
shed	9	O
light	9	O
on	5	O
the	5	O
mechanisms	9	O
by	9	O
which	5	O
the	5	O
drug	5	O
causes	9	O
orthostatic	5	B-Disease
hypotension	5	I-Disease
.	9	O

METHODS	2	O
:	9	O
The	5	O
cardiovascular	5	O
responses	5	O
to	5	O
standing	5	O
and	5	O
head	5	O
-	7	O
up	5	O
tilt	5	O
were	9	O
studied	9	O
repeatedly	5	O
in	5	O
PD	9	B-Disease
patients	5	O
receiving	9	O
selegiline	0	B-Chemical
and	5	O
as	5	O
the	5	O
drug	5	O
was	9	O
withdrawn	9	O
.	9	O

RESULTS	9	O
:	9	O
Head	2	O
-	7	O
up	5	O
tilt	5	O
caused	9	O
systolic	5	B-Disease
orthostatic	5	I-Disease
hypotension	5	I-Disease
which	5	O
was	9	O
marked	9	O
in	5	O
six	9	O
of	5	O
20	9	O
PD	9	B-Disease
patients	5	O
on	5	O
selegiline	0	B-Chemical
,	9	O
one	5	O
of	5	O
whom	5	O
lost	9	O
consciousness	5	O
with	5	O
unrecordable	5	O
blood	9	O
pressures	5	O
.	9	O

A	9	O
lesser	9	O
degree	5	O
of	5	O
orthostatic	5	B-Disease
hypotension	5	I-Disease
occurred	9	O
with	5	O
standing	5	O
.	9	O

Orthostatic	5	B-Disease
hypotension	5	I-Disease
was	9	O
ameliorated	9	O
4	9	O
days	9	O
after	9	O
withdrawal	5	O
of	5	O
selegiline	0	B-Chemical
and	5	O
totally	9	O
abolished	3	O
7	9	O
days	9	O
after	9	O
discontinuation	5	O
of	5	O
the	5	O
drug	5	O
.	9	O

Stopping	5	O
selegiline	0	B-Chemical
also	9	O
significantly	9	O
reduced	9	B-Disease
the	5	I-Disease
supine	5	I-Disease
systolic	5	I-Disease
and	5	I-Disease
diastolic	5	I-Disease
blood	9	I-Disease
pressures	5	I-Disease
consistent	9	O
with	5	O
a	5	O
previously	9	O
undescribed	4	O
supine	5	O
pressor	5	O
action	5	O
.	9	O

CONCLUSION	5	O
:	9	O
This	5	O
study	9	O
confirms	9	O
our	5	O
previous	9	O
finding	9	O
that	5	O
selegiline	0	B-Chemical
in	5	O
combination	9	O
with	5	O
L	0	B-Chemical
-	7	I-Chemical
dopa	0	I-Chemical
is	5	O
associated	9	O
with	5	O
selective	9	O
orthostatic	5	B-Disease
hypotension	5	I-Disease
.	9	O

The	5	O
possibilities	5	O
that	5	O
these	5	O
cardiovascular	5	O
findings	9	O
might	9	O
be	5	O
the	5	O
result	9	O
of	5	O
non	9	O
-	7	O
selective	9	O
inhibition	3	O
of	5	O
monoamine	0	O
oxidase	0	O
or	5	O
of	5	O
amphetamine	5	B-Chemical
and	5	O
metamphetamine	5	B-Chemical
are	5	O
discussed	5	O
.	9	O

Further	9	O
studies	9	O
on	5	O
effects	9	O
of	5	O
irrigation	5	O
solutions	0	O
on	5	O
rat	3	O
bladders	9	O
.	9	O

Further	9	O
studies	9	O
on	5	O
the	5	O
effects	9	O
of	5	O
certain	5	O
irrigating	5	O
fluids	5	O
on	5	O
the	5	O
rat	3	O
bladder	9	O
for	5	O
18	7	O
hours	9	O
are	5	O
reported	9	O
.	9	O

The	5	O
results	9	O
have	5	O
shown	9	O
that	5	O
the	5	O
degradation	9	O
product	9	O
p	7	B-Chemical
-	7	I-Chemical
choloroaniline	_	I-Chemical
is	5	O
not	5	O
a	5	O
significant	9	O
factor	9	O
in	5	O
chlorhexidine	0	B-Chemical
-	7	I-Chemical
digluconate	0	I-Chemical
associated	9	O
erosive	5	O
cystitis	9	B-Disease
.	9	O

A	9	O
high	9	O
percentage	9	O
of	5	O
kanamycin	1	B-Chemical
-	7	O
colistin	0	B-Chemical
and	5	O
povidone	0	B-Chemical
-	7	I-Chemical
iodine	0	I-Chemical
irrigations	5	O
were	9	O
