22	7	B-Chemical
-	7	I-Chemical
oxacalcitriol	9	I-Chemical
suppresses	3	O
secondary	9	B-Disease
hyperparathyroidism	5	I-Disease
without	9	O
inducing	3	O
low	9	B-Disease
bone	5	I-Disease
turnover	9	I-Disease
in	5	O
dogs	5	O
with	5	O
renal	9	B-Disease
failure	5	I-Disease
.	9	O

BACKGROUND	2	O
:	9	O
Calcitriol	3	B-Chemical
therapy	5	O
suppresses	3	O
serum	9	O
levels	3	O
of	5	O
parathyroid	9	O
hormone	9	O
(	9	O
PTH	9	O
)	9	O
in	5	O
patients	5	O
with	5	O
renal	9	B-Disease
failure	5	I-Disease
but	9	O
has	9	O
several	9	O
drawbacks	5	O
,	9	O
including	9	O
hypercalcemia	5	B-Disease
and	5	O
/	9	O
or	5	O
marked	9	O
suppression	9	B-Disease
of	5	I-Disease
bone	5	I-Disease
turnover	9	I-Disease
,	9	O
which	5	O
may	5	O
lead	5	O
to	5	O
adynamic	5	B-Disease
bone	5	I-Disease
disease	5	I-Disease
.	9	O

A	9	O
new	5	O
vitamin	0	B-Chemical
D	9	I-Chemical
analogue	0	O
,	9	O
22	7	B-Chemical
-	7	I-Chemical
oxacalcitriol	9	I-Chemical
(	9	O
OCT	5	B-Chemical
)	9	O
,	9	O
has	9	O
been	9	O
shown	9	O
to	5	O
have	5	O
promising	5	O
characteristics	5	O
.	9	O

This	5	O
study	9	O
was	9	O
undertaken	5	O
to	5	O
determine	9	O
the	5	O
effects	9	O
of	5	O
OCT	5	B-Chemical
on	5	O
serum	9	O
PTH	9	O
levels	3	O
and	5	O
bone	5	O
turnover	9	O
in	5	O
states	5	O
of	5	O
normal	9	O
or	5	O
impaired	9	B-Disease
renal	9	I-Disease
function	9	I-Disease
.	9	O

METHODS	2	O
:	9	O
Sixty	5	O
dogs	5	O
were	9	O
either	9	O
nephrectomized	0	O
(	9	O
Nx	0	O
,	9	O
N	9	O
=	7	O
38	7	O
)	9	O
or	5	O
sham	9	O
-	7	O
operated	5	O
(	9	O
Sham	9	O
,	9	O
N	9	O
=	7	O
22	7	O
)	9	O
.	9	O

The	5	O
animals	9	O
received	9	O
supplemental	9	O
phosphate	0	B-Chemical
to	5	O
enhance	9	O
PTH	9	O
secretion	3	O
.	9	O

Fourteen	9	O
weeks	9	O
after	9	O
the	5	O
start	9	O
of	5	O
phosphate	0	B-Chemical
supplementation	0	O
,	9	O
half	5	O
of	5	O
the	5	O
Nx	0	O
and	5	O
Sham	9	O
dogs	5	O
received	9	O
doses	0	O
of	5	O
